DispImage,a,b,c,d,e,f,direction,number
Images/Hilbert_2.png,4.900113,1.577609,0.810366,0.417304,0.694537,0.664715,1,63
Images/Hilbert_3.png,4.126057,1.531819,0.594699,0.409798,0.716058,0.865819,1,64
Images/Hilbert_4.png,3.882142,1.676497,0.494952,0.61205,0.760834,1.00935,1,65
Images/Hilbert_5.png,4.945632,1.303465,0.660154,0.344412,0.86088,0.796127,1,66
Images/Hilbert_5.png,2.527837,1.389964,0.734324,0.860264,0.776444,1.178165,0,67
Images/Hilbert_4.png,1.545889,1.178687,0.574292,0.411913,0.717064,0.881259,0,68
Images/Hilbert_3.png,0.709983,1.127305,0.597684,0.397586,0.777594,0.716455,0,69
Images/Hilbert_2.png,0.52925,0.793704,0.527486,0.393858,0.692185,0.728078,0,70
Images/Hilbert_1.png,0.695682,0.86491,0.581741,0.444545,0.717585,0.71667,0,71
Images/Hilbert_0.png,0.810664,1.01229,0.527126,0.445919,0.644659,0.629718,0,72
Images/Moore_0.png,0.595373,0.992793,0.548382,0.645475,0.651723,0.758753,1,73
Images/Moore_1.png,2.477922,1.532842,0.54544,0.911327,0.709529,0.761902,1,74
Images/Moore_2.png,2.611194,1.19534,0.428555,0.427284,0.796528,0.730373,1,75
Images/Moore_3.png,2.943475,5.545483,0.661148,0.429056,0.841503,0.764829,1,76
Images/Moore_4.png,3.43436,1.962024,0.578137,0.377384,0.960554,0.791901,1,77
Images/Moore_5.png,3.495777,1.345543,0.609159,0.37656,0.732824,0.732461,1,78
Images/Moore_5.png,1.22788,0.84477,0.533271,0.41347,0.811942,0.862948,0,79
Images/Moore_4.png,0.910042,1.077889,0.559579,0.479596,1.246071,0.75853,0,80
Images/Moore_3.png,0.564921,1.778676,0.629778,0.413594,0.57656,0.745469,0,81
Images/Moore_2.png,0.494074,1.728507,0.663018,0.396923,0.713738,0.699064,0,82
Images/Moore_1.png,0.746754,1.060927,0.743804,0.413619,0.631064,0.744693,0,83
Images/Moore_0.png,0.578058,1.026815,0.528246,0.680255,0.677387,0.679846,0,84
Images/Fern_A0.png,0.861596,1.215362,0.944904,0.850377,0.712365,0.782244,1,85
Images/Fern_A100.png,4.193562,2.994959,0.925878,0.544063,0.909137,0.794163,1,86
Images/Fern_A200.png,6.55042,2.211757,0.665106,0.407503,0.882061,0.710575,1,87
Images/Fern_A400.png,5.412209,1.995468,0.660844,0.444428,0.759699,0.746792,1,88
Images/Fern_A800.png,5.68124,1.627235,0.562899,0.374232,0.764679,0.714334,1,89
Images/Fern_A1600.png,4.997603,1.662006,0.559932,0.496102,0.727076,0.728177,1,90
Images/Fern_A3200.png,1.880344,1.061363,0.527893,0.477941,0.74451,1.049597,1,91
Images/Fern_A6400.png,5.448737,1.761692,0.46161,0.793517,0.92795,0.928874,1,92
Images/Fern_A12800.png,5.332558,2.095654,0.645622,0.611992,1.026554,0.812393,1,93
Images/Fern_A12800.png,3.129375,0.927366,0.460288,0.711313,0.797891,0.963334,0,94
Images/Fern_A6400.png,1.928447,1.12812,0.444149,0.393814,0.845023,0.731304,0,95
Images/Fern_A3200.png,1.009624,1.02841,0.412628,0.360715,0.762315,0.982843,0,96
Images/Fern_A1600.png,0.581241,0.911184,0.42785,0.328672,0.763683,0.726335,0,97
Images/Fern_A800.png,0.575498,1.144476,0.427586,0.361335,0.827867,0.798845,0,98
Images/Fern_A400.png,0.59776,0.911009,0.494338,0.327535,0.777484,0.860558,0,99
Images/Fern_A200.png,0.595256,0.762796,0.479523,0.39529,0.846558,0.832655,0,100
Images/Fern_A100.png,0.931569,0.7435,0.427232,0.378118,0.793647,0.911733,0,101
Images/Fern_A0.png,0.980288,0.778562,0.561961,0.511457,0.811183,0.76084,0,102
Images/Fern_B0.png,1.028374,1.595559,0.643394,0.425702,0.746939,0.844018,1,103
Images/Fern_B100.png,1.730295,1.812422,0.665969,0.416642,0.659867,0.780939,1,104
Images/Fern_B200.png,2.448371,0.927192,0.442058,0.478834,0.714783,0.74438,1,105
Images/Fern_B400.png,1.012769,1.931373,0.399676,0.359886,0.725696,0.765773,1,106
Images/Fern_B800.png,0.447154,1.020335,0.6118,0.295158,0.730605,0.795876,1,107
Images/Fern_B1600.png,2.097939,0.922353,0.377017,0.36209,0.780992,0.883092,1,108
Images/Fern_B3200.png,2.728163,0.727772,0.427984,0.361354,0.898542,0.760304,1,109
Images/Fern_B6400.png,7.01236,1.794417,0.760835,0.344417,0.76094,0.707851,1,110
Images/Fern_B12800.png,2.797759,0.865571,1.145209,0.411965,0.629734,0.650052,1,111
