DispImage,direction,bc.WRA.0225,cc.WRA.0225,es.WRA.0224,sw.WRA.0221,sw.WRA.0308,as.WRB.0224,jp.WRB.0219,jp.WRB.0225,rc.WRB.0225,rc.WRB.0218,sw.WRB.0217,sw.WRB.0316
Images/Fractal_Curves_A2.png,2,0.562213,0.762958,0.429254,0.481581,0.96234,0.420031,0.764828,1.458688,0.962134,0.528628,0.749289,0.527183
Images/Fractal_Curves_A2.png,2,1.830735,0.61259,0.343798,0.942789,0.711568,0.361046,0.795562,1.444887,0.877353,0.462265,0.628243,0.517138
Images/Fractal_Curves_A3.png,2,4.138495,1.3716,0.705233,1.132716,1.08931,0.378426,0.694659,0.981372,0.545865,0.827009,0.733903,0.51017
Images/Fractal_Curves_A3.png,2,1.12825,0.746695,0.460216,0.682479,0.747648,0.39482,2.161314,1.495295,0.845711,0.866756,0.701298,0.533237
Images/Fractal_Curves_A4.png,2,3.129108,0.826471,0.694627,1.011984,0.848877,0.380046,2.060967,0.799517,0.576156,0.828596,0.826787,0.532448
Images/Fractal_Curves_A4.png,2,2.646186,0.611519,0.378355,0.811408,0.879322,0.39014,0.611051,1.761492,0.56005,0.499752,0.678271,0.492509
Images/Fractal_Curves_A5.png,2,4.846054,0.711993,0.360027,0.92711,0.712317,0.41255,0.693579,1.615345,0.627757,0.942082,0.761357,0.495659
Images/Fractal_Curves_A5.png,2,1.811812,0.732242,0.328455,0.829369,0.811431,0.395348,0.545886,0.960741,0.828179,0.528554,0.74276,0.498815
Images/Fractal_Curves_B0.png,2,0.978344,0.794743,0.358544,0.861531,0.629874,0.413362,0.928423,1.296962,0.946888,1.126285,0.678226,0.494968
Images/Fractal_Curves_B0.png,2,0.645266,0.6131,0.64257,0.776412,0.69319,0.396049,0.84476,1.360579,0.52691,0.827972,0.76234,0.691166
Images/Fractal_Curves_B1.png,2,0.99556,0.760664,0.477151,0.730544,0.894669,0.397842,0.960113,1.960677,1.248746,0.612849,0.614977,0.526051
Images/Fractal_Curves_B1.png,2,0.794916,0.57695,0.512594,0.780868,1.026233,0.414096,1.012074,1.49542,0.745388,0.645801,0.728811,0.604959
Images/Fractal_Curves_B2.png,2,1.994872,0.677759,0.466781,0.850263,0.981927,0.396458,0.980567,1.609732,1.627038,0.510776,0.644006,0.494327
Images/Fractal_Curves_B2.png,2,1.377511,0.596277,0.744832,0.790902,0.778791,0.396566,0.877734,1.213807,0.829445,0.895588,0.675663,0.513431
Images/Fractal_Curves_B3.png,2,4.029691,0.878724,0.39797,0.826921,0.7267,0.379566,0.810938,1.798917,0.980601,0.980214,0.592321,0.531808
Images/Fractal_Curves_B3.png,2,1.31219,0.744246,0.595141,0.89908,0.911894,0.379708,0.811716,1.295948,0.961871,1.061232,0.695595,0.530957
Images/Fractal_Curves_B4.png,2,1.36303,0.627589,0.747554,0.833417,0.682992,0.377057,1.343872,1.698928,0.861206,1.112664,0.678332,0.528084
Images/Fractal_Curves_B4.png,2,1.229335,0.541778,0.679412,0.766244,0.958515,0.396769,1.180375,0.948687,0.76499,0.761299,0.795944,0.610951
Images/Fractal_Curves_B5.png,2,2.962066,0.578771,0.730329,0.875633,0.815907,0.379575,0.7813,1.709748,0.676387,0.745359,0.647768,0.710524
Images/Fractal_Curves_B5.png,2,1.676759,0.66045,0.559375,0.793147,0.947909,0.395678,1.333224,1.964432,0.777355,0.741732,0.696503,0.664997
Images/Fractal_Curves_C0.png,2,1.09553,0.610371,0.576989,0.828335,0.745337,0.327348,2.04397,1.293403,0.810413,0.961521,0.683462,0.526807
Images/Fractal_Curves_C0.png,2,1.094347,0.677674,0.612302,0.749374,0.797885,0.431627,0.843517,1.727981,0.328463,1.010445,0.578753,0.577566
Images/Fractal_Curves_C1.png,2,0.862257,0.561147,0.561734,0.727009,0.779726,0.378617,1.002908,1.344836,0.413549,0.598203,0.708723,1.016625
Images/Fractal_Curves_C1.png,2,1.128215,0.628859,0.494525,0.746211,0.766249,0.445115,1.479238,1.128683,1.196153,0.777786,0.72692,0.625764
Images/Fractal_Curves_C2.png,2,1.49571,0.514065,0.644859,0.89451,0.915106,0.430633,1.876743,1.128579,1.314507,0.877261,0.76588,0.509032
Images/Fractal_Curves_C2.png,2,1.445715,0.741685,0.579145,1.115999,0.761061,0.410857,0.898487,1.527347,0.830336,1.078791,0.69514,0.478175
Images/Fractal_Curves_C3.png,2,1.144639,0.765359,0.842677,0.744375,0.712531,0.410097,2.479938,1.946856,0.863146,1.777729,0.645458,1.14272
Images/Fractal_Curves_C3.png,2,1.660615,0.627631,0.626788,1.061162,0.795813,0.410968,1.113557,0.811217,0.660813,0.910022,0.743967,0.626747
Images/Fractal_Curves_C4.png,2,1.177896,0.590203,0.662441,0.79672,0.660238,0.394462,1.594378,1.578911,1.111852,0.460982,0.62702,0.813944
Images/Fractal_Curves_C4.png,2,1.344578,0.594439,0.381186,0.693353,0.693421,0.410366,1.282396,1.559959,1.243539,0.432717,0.709832,0.677625
Images/Fractal_Curves_C5.png,2,1.378314,0.584415,0.730958,0.760718,0.765139,0.374163,1.210345,1.727215,1.162944,0.862252,0.629833,0.699041
Images/Fractal_Curves_C5.png,2,1.694742,0.778749,0.443497,0.929045,0.694184,0.393047,1.211414,1.199432,0.644048,0.528322,0.715884,1.08307
Images/Fractal_Curves_D0.png,2,1.112626,0.626244,0.676447,0.849308,0.731899,0.411578,1.510867,1.262345,0.494707,0.660942,0.698573,0.713616
