DispImage,g,h,i,j,k,l,m,n,o,p,direction,number
Images/Pythagoras_A0.png,0.845934,0.428463,1.37892,0.778068,0.861968,0.397559,0.56109,0.826554,0.477815,0.997966,1,47
Images/Pythagoras_A1.png,0.628161,0.345102,1.228863,0.745257,0.860149,1.461092,0.539108,0.465863,0.4104,0.742423,1,48
Images/Pythagoras_A2.png,0.515356,0.579162,1.343195,0.744533,1.599173,0.978634,1.479112,0.493507,0.461625,0.494846,1,49
Images/Pythagoras_A3.png,0.680187,0.628708,1.362067,0.759672,0.876416,0.377322,0.876709,0.661767,0.411173,0.412404,1,50
Images/Pythagoras_A3.png,0.564011,0.778226,1.794461,0.798902,0.879672,0.760243,1.182607,0.7765,0.42789,1.761001,0,51
Images/Pythagoras_A2.png,0.827514,0.393709,1.378493,0.794282,0.979714,0.614394,0.477545,0.481619,0.427629,1.261185,0,52
Images/Pythagoras_A1.png,0.597321,0.447649,1.677119,0.812375,0.916559,0.394098,0.793836,0.410367,0.395836,0.478078,0,53
Images/Pythagoras_A0.png,0.616049,0.296021,1.428245,0.694225,0.978708,0.411095,0.727565,0.444956,0.427882,0.443823,0,54
Images/Fern_B0.png,0.575356,0.59418,1.52772,0.944561,0.877165,0.89587,1.126655,0.811854,0.443615,0.944802,1,55
Images/Fern_B100.png,0.580343,0.462443,1.730014,0.844568,1.081121,1.477896,1.080348,0.56098,0.446881,1.063514,1,56
Images/Fern_B200.png,0.630436,0.376166,1.675676,0.810962,1.045367,0.610978,1.364907,0.478078,0.378315,0.431646,1,57
Images/Fern_B400.png,0.582759,0.409319,1.651147,0.828924,0.980296,0.71246,1.245172,0.428121,0.410842,0.395373,1,58
Images/Fern_B800.png,0.695613,0.565559,1.54288,0.795197,1.146024,0.628093,1.496265,0.460191,0.411925,1.411839,1,59
Images/Fern_B1600.png,0.558781,0.412106,1.49631,0.744181,1.17824,0.693844,1.356986,0.494846,0.410876,1.195118,1,60
Images/Fern_B3200.png,0.600336,0.444944,1.528731,0.745131,1.027323,0.643292,0.565482,0.431646,0.410854,0.428121,1,61
Images/Fern_B6400.png,0.678408,0.409354,1.293928,0.745361,1.128154,0.612731,0.69392,0.692445,0.395443,0.4295,1,62
